profile,analysis_role,job_id,circuit_id,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,regular_tangents,regular_fraction
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,2,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,2,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,2,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i3,SU2-CNOT-line,16,6.0,3,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i3,SU2-CNOT-line,16,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i3,SU2-CNOT-line,16,6.0,3,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i3,SU2-CNOT-line,16,6.0,3,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,3,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,3,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,3,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,2,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,2,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,2,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,2,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i8,U1-RZ-XY-line,12,6.0,8,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i8,U1-RZ-XY-line,12,6.0,8,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i8,U1-RZ-XY-line,12,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i8,U1-RZ-XY-line,12,6.0,8,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i4,SU2-CNOT-line,16,6.0,4,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i4,SU2-CNOT-line,16,6.0,4,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i4,SU2-CNOT-line,16,6.0,4,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i4,SU2-CNOT-line,16,6.0,4,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,6.0,4,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,6.0,4,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,6.0,4,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,6.0,4,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i5,SU2-CNOT-line,16,6.0,5,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i5,SU2-CNOT-line,16,6.0,5,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i5,SU2-CNOT-line,16,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i5,SU2-CNOT-line,16,6.0,5,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i5,U1-RZ-XY-line,8,6.0,5,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i5,U1-RZ-XY-line,8,6.0,5,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i5,U1-RZ-XY-line,8,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i5,U1-RZ-XY-line,8,6.0,5,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,6.0,6,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,6.0,6,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,6.0,6,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i6,U1-RZ-XY-line,8,6.0,6,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i6,U1-RZ-XY-line,8,6.0,6,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i6,U1-RZ-XY-line,8,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i6,U1-RZ-XY-line,8,6.0,6,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i7,SU2-CNOT-line,16,6.0,7,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i7,SU2-CNOT-line,16,6.0,7,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i7,SU2-CNOT-line,16,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n16|d96|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i7,SU2-CNOT-line,16,6.0,7,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i7,U1-RZ-XY-line,8,6.0,7,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i7,U1-RZ-XY-line,8,6.0,7,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i7,U1-RZ-XY-line,8,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i7,U1-RZ-XY-line,8,6.0,7,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i0,SU2-HaarU4-brickwork,8,6.0,0,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i0,SU2-HaarU4-brickwork,8,6.0,0,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i0,SU2-HaarU4-brickwork,8,6.0,0,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i0,SU2-HaarU4-brickwork,8,6.0,0,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,8,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,8,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,8,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i1,SU2-HaarU4-brickwork,8,6.0,1,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i1,SU2-HaarU4-brickwork,8,6.0,1,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i1,SU2-HaarU4-brickwork,8,6.0,1,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i1,SU2-HaarU4-brickwork,8,6.0,1,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i9,U1-RZ-XY-line,8,6.0,9,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i9,U1-RZ-XY-line,8,6.0,9,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i9,U1-RZ-XY-line,8,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n8|d48|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i9,U1-RZ-XY-line,8,6.0,9,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,6.0,2,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,6.0,2,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,6.0,2,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,6.0,2,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i0,U1-RZ-XY-line,12,6.0,0,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i0,U1-RZ-XY-line,12,6.0,0,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i0,U1-RZ-XY-line,12,6.0,0,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i0,U1-RZ-XY-line,12,6.0,0,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,6.0,3,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,6.0,3,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,6.0,3,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i1,U1-RZ-XY-line,12,6.0,1,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i1,U1-RZ-XY-line,12,6.0,1,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i1,U1-RZ-XY-line,12,6.0,1,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i1,U1-RZ-XY-line,12,6.0,1,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,4,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,4,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,4,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,4,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i2,U1-RZ-XY-line,12,6.0,2,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i2,U1-RZ-XY-line,12,6.0,2,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i2,U1-RZ-XY-line,12,6.0,2,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i2,U1-RZ-XY-line,12,6.0,2,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i5,SU2-HaarU4-brickwork,8,6.0,5,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i5,SU2-HaarU4-brickwork,8,6.0,5,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i5,SU2-HaarU4-brickwork,8,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n8|d48|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i5,SU2-HaarU4-brickwork,8,6.0,5,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i3,U1-RZ-XY-line,12,6.0,3,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i3,U1-RZ-XY-line,12,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i3,U1-RZ-XY-line,12,6.0,3,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,U1-RZ-XY-line|n12|d72|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i3,U1-RZ-XY-line,12,6.0,3,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i3,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i3,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i3,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,128,128,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i3,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,256,256,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i3,SU2-HaarU4-brickwork,12,6.0,3,gaussian,Z,0.0,32,32,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i3,SU2-HaarU4-brickwork,12,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i3,SU2-HaarU4-brickwork,12,6.0,3,gaussian,Z,0.0,128,128,1.0
